iter	Logloss
0	0.664210576
1	0.6411121226
2	0.6212774651
3	0.6077067332
4	0.5959980778
5	0.5866628286
6	0.5790246703
7	0.5728648065
8	0.5681766544
9	0.5646607249
10	0.5617203261
11	0.5594909604
12	0.5575013854
13	0.5557411939
14	0.5537364415
15	0.5526201081
16	0.5517657599
17	0.5507324015
18	0.5499217537
19	0.5488750548
20	0.5484145817
21	0.5479501336
22	0.5474111965
23	0.5469344115
24	0.5463654456
25	0.5461168817
26	0.545986277
27	0.5456352796
28	0.5452370765
29	0.545030972
30	0.5448477686
31	0.5446058299
32	0.5442162421
33	0.5439227795
34	0.5438355604
35	0.5437105908
36	0.5435610226
37	0.5434223296
38	0.5433878649
39	0.543206818
40	0.5429871909
41	0.5428363429
42	0.5427521542
43	0.5426541107
44	0.5425035108
45	0.5424336527
46	0.5422156641
47	0.542096471
48	0.5419659641
49	0.5418351653
50	0.5417488997
51	0.5416680174
52	0.5415204847
53	0.5413975102
54	0.5412126107
55	0.5410019144
56	0.5408043429
57	0.5406745803
58	0.5405758878
59	0.5403456656
60	0.5402500573
61	0.5401948439
62	0.5400742108
63	0.5399246799
64	0.5398502126
65	0.5397331024
66	0.5395834059
67	0.539465263
68	0.539253302
69	0.5391584317
70	0.5390612979
71	0.5390442738
72	0.5389140766
73	0.5387745363
74	0.5386679897
75	0.5386198359
76	0.5385348903
77	0.5384216519
78	0.5383131205
79	0.5382496151
80	0.5382001487
81	0.5380924496
82	0.5378973402
83	0.5378179745
84	0.5376781158
85	0.5376073813
86	0.537503705
87	0.5374383035
88	0.5374183866
89	0.5372811729
90	0.5371111885
91	0.5370103559
92	0.5369229926
93	0.5368192454
94	0.5366694065
95	0.5365692906
96	0.5364634409
97	0.5363674339
98	0.5362880477
99	0.5361677833
100	0.5360587769
101	0.5359217274
102	0.5357872938
103	0.5356281659
104	0.5354979002
105	0.5353780688
106	0.5353118896
107	0.5351853716
108	0.5350742935
109	0.5349695369
110	0.5348630541
111	0.5346847581
112	0.5345509494
113	0.5343765377
114	0.5342257287
115	0.5341071195
116	0.533994606
117	0.5338813433
118	0.5337441111
119	0.5335794806
120	0.5334195208
121	0.5333139437
122	0.5332075415
123	0.5331031844
124	0.5329409365
125	0.5327971929
126	0.5326687083
127	0.5325616504
128	0.5324547907
129	0.5322973923
130	0.5321223655
131	0.5319909605
132	0.5319031164
133	0.5317879038
134	0.5316730312
135	0.5315303033
136	0.5314179444
137	0.5312437178
138	0.5311467514
139	0.5309769427
140	0.5308749123
141	0.5306973525
142	0.5305621867
143	0.5304314479
144	0.530285583
145	0.5301964744
146	0.5300466681
147	0.5299283436
148	0.5298126326
149	0.5297336121
150	0.5296283879
151	0.5294811532
152	0.5293760542
153	0.5292385588
154	0.5290537628
155	0.5289390029
156	0.5288192845
157	0.5287400801
158	0.5286555812
159	0.5285123535
160	0.5284044201
161	0.5282990907
162	0.5281818477
163	0.5280415754
164	0.5278501722
165	0.5277241197
166	0.5275808508
167	0.5274295962
168	0.5273242351
169	0.5272113535
170	0.5270659887
171	0.5269406991
172	0.5268807122
173	0.5267529038
174	0.5266086752
175	0.5264845845
176	0.526386592
177	0.526267246
178	0.526155391
179	0.5260453685
180	0.5259252742
181	0.5257576274
182	0.5256300919
183	0.5255086837
184	0.5253736838
185	0.5252494264
186	0.5251542323
187	0.5250737441
188	0.5249605168
189	0.524818663
190	0.5246756815
191	0.5245785078
192	0.5244113316
193	0.5242954425
194	0.5241631884
195	0.5239521905
196	0.5238168248
197	0.5237123025
198	0.5236276033
199	0.523498082
